PURITY
+-----------+----+----------------+--------------------+--------------------+--------------------+--------------------+
|  Method   | k  |    dataset     |        lda         |      skipgram      |       tfidf        |     consensus      |
| NCFwR#20  | 12 |  BBCSport:12   | 1.3596837944664029 | 1.0345864661654136 |        1.0         | 1.016248153618907  |
| NCFwR#20  | 12 | Reuters-R8:12  | 1.030829596412556  | 1.1587901701323249 |        1.0         | 1.0027262813522353 |
| NCFwR#20  | 12 |    WebKB:12    | 1.0103129445234704 | 1.097758887171561  | 1.0286024619840695 |        1.0         |
| NCFwR#20  | 24 | 20Newsgroup:24 |        1.0         | 1.0925311203319505 | 1.0621218233158534 | 1.022127329192547  |
| NCFwR#20  | 24 |  BBCSport:24   | 1.3320683111954457 | 1.0323529411764707 |        1.0         | 1.0173913043478262 |
| NCFwR#20  | 24 | Reuters-R8:24  | 1.0326975476839237 | 1.0859598853868193 |        1.0         | 1.0475400773908234 |
| NCFwR#20  | 24 |    WebKB:24    | 1.0021141649048626 | 1.0859106529209626 |        1.0         | 1.018624641833811  |
| NCFwR#20  | 48 | 20Newsgroup:48 | 1.0011202389843161 | 1.0563435776201735 | 1.1536144578313254 |        1.0         |
| NCFwR#20  | 48 |  BBCSport:48   | 1.273394495412844  | 1.0281481481481478 |        1.0         | 1.0235988200589965 |
| NCFwR#20  | 48 | Reuters-R8:48  | 1.0339989206691849 | 1.0727883538633818 |        1.0         | 1.0132205182443155 |
| NCFwR#20  | 48 |    WebKB:48    |        1.0         | 1.0558431952662721 | 1.0419708029197077 | 1.0434941520467835 |
| NCFwR#30  | 3  | 20Newsgroup:3  | 1.040485829959514  | 1.082105263157895  |        1.0         | 1.0271782573940849 |
| NCFwR#30  | 3  |   BBCSport:3   | 1.1477272727272727 |        1.0         | 1.0455486542443064 |        1.01        |
| NCFwR#30  | 3  |  Reuters-R8:3  | 1.028352037802717  | 1.2698760029175784 |        1.0         | 1.0187244002340547 |
| NCFwR#30  | 3  |    WebKB:3     | 1.0115984052192823 | 1.2327738515901063 |        1.0         | 1.0167577413479052 |
| NCFwR#30  | 6  | 20Newsgroup:6  | 1.0228436392280427 | 1.0030899961375048 |        1.0         | 1.0289223454833598 |
| NCFwR#30  | 6  |   BBCSport:6   | 1.4052419354838708 | 1.2079722703639513 |        1.0         | 1.0657492354740061 |
| NCFwR#30  | 6  |  Reuters-R8:6  | 1.016968325791855  | 1.1562700964630221 |        1.0         | 1.018696883852691  |
| NCFwR#30  | 6  |    WebKB:6     | 1.0003614022406937 | 1.095803642121932  | 1.0176470588235296 |        1.0         |
